20,7
C,50,6
D,60,6
A,60,6
C,60,6
G,20,7
F,30,7
G,60,7
A,60,7
F,50,7
F,60,7
C,60,7
E,40,8
B,30,8
B,60,8
A,30,8
C,40,8
F,50,8
G,50,9
B,40,9
B,60,9
C,50,9
D,20,9
A,60,9
C,20,10
A,30,10
F,20,11
A,40,11
B,60,11
G,30,11
G,60,11
E,50,12
F,20,12
G,60,12
G,30,12
D,30,13
A,50,14
D,40,14
E,20,14
D,60,14
G,50,14
B,40,14
A,30,14
F,50,14
E,40,15
B,60,15
E,50,15
A,20,15
A,30,15
D,30,15
F,20,15
B,30,15
C,30,16
D,60,16
E,30,16
G,30,16
F,30,17
E,30,17
C,20,17
F,30,18
B,50,18
E,40,18
F,40,18
B,40,19
E,60,19
E,60,19
F,20,19
A,30,19
D,30,20
B,20,20
E,60,20
A,30,20
F,30,20
F,30,20
A,20,21
C,50,21
E,40,21
A,20,21
A,30,21
A,50,21
C,30,21
E,30,21
F,50,22
B,30,22
E,30,22
E,60,22
B,20,22
B,20,23
F,60,23
C,50,23
C,60,23
D,40,23
E,50,23
F,60,24
B,20,24
E,20,24
B,40,24
E,30,24
E,40,24
F,40,24
C,20,24
