20,7
B,30,6
F,20,6
D,50,6
D,40,6
G,60,6
F,60,7
C,40,7
B,40,7
D,30,7
E,40,7
G,20,8
E,20,8
B,40,8
F,40,8
G,20,8
E,60,8
A,60,8
C,50,9
B,30,9
B,40,9
B,30,9
E,50,9
F,60,10
B,20,10
E,60,10
G,20,10
E,40,11
F,50,11
F,50,12
B,60,12
F,50,13
D,30,13
D,50,13
A,60,13
F,50,13
B,50,13
E,20,14
G,20,14
C,60,14
C,40,14
C,20,14
G,50,14
G,40,14
A,20,14
F,50,15
D,40,15
C,60,15
B,50,15
B,60,15
D,20,15
E,30,15
D,40,15
F,60,15
C,20,15
G,60,15
A,50,16
E,30,16
A,20,16
A,20,16
D,20,16
E,30,16
G,20,17
E,50,17
A,40,17
B,20,17
G,60,17
C,30,18
A,30,18
E,50,18
E,50,18
D,60,18
B,60,18
D,40,18
D,50,18
A,30,18
D,20,18
F,20,18
D,40,18
D,40,18
G,40,18
A,40,18
C,30,19
A,30,19
G,30,19
B,20,19
G,40,19
A,40,19
G,30,19
G,20,19
A,20,20
D,30,20
A,40,20
F,40,20
A,20,20
G,50,20
F,30,20
B,30,20
B,30,20
B,20,20
F,40,20
