20,7
F,30,6
C,40,6
G,20,6
F,50,6
D,20,6
C,60,6
G,40,6
D,40,6
E,20,6
E,60,7
D,60,7
G,40,7
F,40,7
A,40,7
F,40,8
F,60,8
D,30,8
A,20,8
A,50,8
E,40,8
E,20,8
A,30,8
E,60,9
E,20,9
E,20,9
F,30,9
B,20,9
E,40,9
D,50,9
E,20,10
D,20,10
A,60,10
G,40,10
A,60,10
A,20,11
F,60,11
A,50,11
F,50,11
F,30,11
D,40,11
E,30,11
G,30,11
D,30,11
E,50,11
A,60,12
B,20,12
A,60,12
A,60,12
D,40,12
G,50,13
E,20,13
F,40,13
C,30,13
G,50,13
A,60,13
C,30,14
F,30,14
E,50,14
A,40,14
F,50,15
D,50,15
E,60,16
B,30,16
E,50,16
A,30,16
E,60,16
B,20,16
E,30,16
A,40,17
B,20,17
F,60,17
F,30,17
D,30,17
E,20,17
B,20,17
A,40,17
B,30,17
B,40,18
B,40,18
F,40,18
B,20,18
D,20,18
D,30,18
F,30,19
A,40,19
G,40,19
C,30,19
B,30,19
A,60,20
A,50,20
D,20,20
D,20,20
E,50,21
G,60,21
G,30,21
A,30,22
D,60,22
E,60,22
E,50,22
E,50,22
